,Pclass,Sex,Age,no_of_siblings_or_partners_onboard,no_of_parents_or_children_onboard,Survived
619,2,0,26.0,0,0,0
622,3,0,20.0,1,1,1
72,2,0,21.0,0,0,0
339,1,0,45.0,0,0,0
513,1,1,54.0,1,0,1
37,3,0,21.0,0,0,0
404,3,1,20.0,0,0,0
647,1,0,56.0,0,0,1
226,2,0,19.0,0,0,1
255,3,1,29.0,0,2,1
810,3,0,26.0,0,0,0
24,3,1,8.0,3,1,0
779,1,1,43.0,0,1,1
323,2,1,22.0,1,1,1
512,1,0,36.0,0,0,1
591,1,1,52.0,1,0,1
747,2,1,30.0,0,0,1
797,3,1,31.0,0,0,1
393,1,1,23.0,1,0,1
69,3,0,26.0,2,0,0
719,3,0,33.0,0,0,0
122,2,0,32.5,1,0,0
603,3,0,44.0,0,0,0
734,2,0,23.0,0,0,0
25,3,1,38.0,1,5,1
658,2,0,23.0,0,0,0
332,1,0,38.0,0,1,0
876,3,0,20.0,0,0,0
750,2,1,4.0,1,1,1
441,3,0,20.0,0,0,0
233,3,1,5.0,4,2,1
372,3,0,19.0,0,0,0
514,3,0,24.0,0,0,0
309,1,1,30.0,0,0,1
606,3,0,30.0,0,0,0
716,1,1,38.0,0,0,1
630,1,0,80.0,0,0,1
131,3,0,20.0,0,0,0
486,1,1,35.0,1,0,1
580,2,1,25.0,1,1,1
438,1,0,64.0,1,4,0
6,1,0,54.0,0,0,0
504,1,1,16.0,0,0,1
242,2,0,29.0,0,0,0
870,3,0,26.0,0,0,0
864,2,0,24.0,0,0,0
809,1,1,33.0,1,0,1
15,2,1,55.0,0,0,1
811,3,0,39.0,0,0,0
503,3,1,37.0,0,0,0
392,3,0,28.0,2,0,0
461,3,0,34.0,0,0,0
555,1,0,62.0,0,0,0
808,2,0,39.0,0,0,0
66,2,1,29.0,0,0,1
540,1,1,36.0,0,2,1
265,2,0,36.0,0,0,0
183,2,0,1.0,2,1,1
314,2,0,43.0,1,1,0
94,3,0,59.0,0,0,0
477,3,0,29.0,1,0,0
371,3,0,18.0,1,0,0
691,3,1,4.0,0,1,1
566,3,0,19.0,0,0,0
445,1,0,4.0,0,2,1
44,3,1,19.0,0,0,1
869,3,0,4.0,1,1,1
627,1,1,21.0,0,0,1
145,2,0,19.0,1,1,0
401,3,0,26.0,0,0,0
278,3,0,7.0,4,1,0
350,3,0,23.0,0,0,0
701,1,0,35.0,0,0,1
862,1,1,48.0,0,0,1
35,1,0,42.0,1,0,0
293,3,1,24.0,0,0,0
465,3,0,38.0,0,0,0
426,2,1,28.0,1,0,1
234,2,0,24.0,0,0,0
654,3,1,18.0,0,0,0
772,2,1,57.0,0,0,0
556,1,1,48.0,1,0,1
272,2,1,41.0,0,1,1
489,3,0,9.0,1,1,1
348,3,0,3.0,1,1,1
212,3,0,22.0,0,0,0
855,3,1,18.0,0,1,1
337,1,1,41.0,0,0,1
261,3,0,3.0,4,2,1
827,2,0,1.0,0,2,1
81,3,0,29.0,0,0,1
561,3,0,40.0,0,0,0
75,3,0,25.0,0,0,0
164,3,0,1.0,4,1,0
519,3,0,32.0,0,0,0
398,2,0,23.0,0,0,0
116,3,0,70.5,0,0,0
877,3,0,19.0,0,0,0
360,3,0,40.0,1,4,0
427,2,1,19.0,0,0,1
213,2,0,30.0,0,0,0
239,2,0,33.0,0,0,0
317,2,0,54.0,0,0,0
148,2,0,36.5,0,2,0
221,2,0,27.0,0,0,0
30,1,0,40.0,0,0,0
39,3,1,14.0,1,0,1
208,3,1,16.0,0,0,1
705,2,0,39.0,0,0,0
70,2,0,32.0,0,0,0
421,3,0,21.0,0,0,0
224,1,0,38.0,1,0,1
13,3,0,39.0,1,5,0
685,2,0,25.0,1,2,0
694,1,0,60.0,0,0,0
203,3,0,45.5,0,0,0
238,2,0,19.0,0,0,0
535,2,1,7.0,0,2,1
217,2,0,42.0,1,0,0
406,3,0,51.0,0,0,0
699,3,0,42.0,0,0,0
340,2,0,2.0,1,1,1
106,3,1,21.0,0,0,1
836,3,0,21.0,0,0,0
550,1,0,17.0,0,2,1
576,2,1,34.0,0,0,1
858,3,1,24.0,0,3,1
236,2,0,44.0,1,0,0
787,3,0,8.0,4,1,0
575,3,0,19.0,0,0,0
536,1,0,45.0,0,0,0
182,3,0,9.0,4,2,0
155,1,0,51.0,0,1,0
313,3,0,28.0,0,0,0
675,3,0,18.0,0,0,0
266,3,0,16.0,4,1,0
20,2,0,35.0,0,0,0
714,2,0,52.0,0,0,0
308,2,0,30.0,1,0,0
478,3,0,22.0,0,0,0
156,3,1,16.0,0,0,1
356,1,1,22.0,0,1,1
456,1,0,65.0,0,0,0
123,2,1,32.5,0,0,1
232,2,0,59.0,0,0,0
635,2,1,28.0,0,0,1
693,3,0,25.0,0,0,0
706,2,1,45.0,0,0,1
649,3,1,23.0,0,0,1
366,1,1,60.0,1,0,1
553,3,0,22.0,0,0,1
462,1,0,47.0,0,0,0
83,1,0,28.0,0,0,0
586,2,0,47.0,0,0,0
615,2,1,24.0,1,2,1
666,2,0,25.0,0,0,0
610,3,1,39.0,1,5,0
408,3,0,21.0,0,0,0
397,2,0,46.0,0,0,0
139,1,0,24.0,0,0,0
12,3,0,20.0,0,0,0
331,1,0,45.5,0,0,0
105,3,0,28.0,0,0,0
194,1,1,44.0,0,0,1
487,1,0,58.0,0,0,0
143,3,0,19.0,0,0,0
762,3,0,20.0,0,0,1
588,3,0,22.0,0,0,0
53,2,1,29.0,1,0,1
688,3,0,18.0,0,0,0
664,3,0,20.0,1,0,1
632,1,0,32.0,0,0,1
710,1,1,24.0,0,0,1
831,2,0,0.83,1,1,1
724,1,0,27.0,1,0,1
